OrderDetailKey|OrderDetailId|OrderId|ProductId|OrderDetailUnitPrice|Quantity|Discount|OrderKey|CustomerId|EmployeeId|OrderDate|RequiredDate|ShippedDate|ShipVia|Freight|ShipName|ShipAddress|ShipCity|ShipRegion|ShipPostalCode|ShipCountry|ProductKey|ProductName|SupplierId|CategoryId|QuantityPerUnit|ProductUnitPrice|UnitsInStock|UnitsOnOrder|ReorderLevel|Discontinued|CustomerKey|OrderDetailCompanyName|OrderDetailContactName|OrderDetailContactTitle|OrderDetailAddress|OrderDetailCity|OrderDetailRegion|OrderDetailPostalCode|OrderDetailCountry|OrderDetailPhone|OrderDetailFax|EmployeeKey|LastName|FirstName|Title|TitleOfCourtesy|BirthDate|HireDate|EmployeeAddress|EmployeeCity|EmployeeRegion|EmployeePostalCode|EmployeeCountry|HomePhone|Extension|Photo|Notes|ReportsTo|PhotoPath|SupplierKey|SupplierCompanyName|SupplierContactName|SupplierContactTitle|Address|City|Region|PostalCode|Country|SupplierPhone|SupplierFax|HomePage|CategoryKey|CategoryName|Description|OrderDateKey|OrderDateId|OrderDayNameNum|OrderDayNameFull|OrderDayNameAbbrev|OrderMonthNum|OrderMonthFull|OrderMonthAbbrev|OrderDay|OrderYear|OrderWeek|OrderQuarter|OrderHalf|RequiredDateKey|RequiredDateId|RequiredDayNameNum|RequiredDayNameFull|RequiredDayNameAbbrev|RequiredMonthNum|RequiredMonthFull|RequiredMonthAbbrev|RequiredDay|RequiredYear|RequiredWeek|RequiredQuarter|RequiredHalf|ShippedDateKey|ShippedDateId|ShippedDayNameNum|ShippedDayNameFull|ShippedDayNameAbbrev|ShippedMonthNum|ShippedMonthFull|ShippedMonthAbbrev|ShippedDay|ShippedYear|ShippedWeek|ShippedQuarter|ShippedHalf|BirthDateKey|BirthDateId|BirthDayNameNum|BirthDayNameFull|BirthDayNameAbbrev|BirthMonthNum|BirthMonthFull|BirthMonthAbbrev|BirthDay|BirthYear|BirthWeek|BirthQuarter|BirthHalf|HireDateKey|HireDateId|HireDayNameNum|HireDayNameFull|HireDayNameAbbrev|HireMonthNum|HireMonthFull|HireMonthAbbrev|HireDay|HireYear|HireWeek|HireQuarter|HireHalf|ShipperKey|CompanyName|Phone
0|10248/11|10248|11|14.0|12|0.0|0|VINET|5|2012-07-04|2012-08-01|2012-07-16|3|32.38|Vins et alcools Chevalier|59 rue de l'Abbaye|Reims|Western Europe|51100|France|10|Queso Cabrales|5|4|1 kg pkg.|21.0|22|30|30|0|84.0|Vins et alcools Chevalier|Paul Henriot|Accounting Manager|59 rue de l'Abbaye|Reims|Western Europe|51100|France|26.47.15.10|26.47.15.11|4|Buchanan|Steven|Sales Manager|Mr.|1987-03-04|2025-10-17|14 Garrett Hill|London|British Isles|SW1 8JR|UK|(71) 555-4848|3453|Unknown Value|Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree in 1976.  Upon joining the company as a sales representative in 1992, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London.  He was promoted to sales manager in March 1993.  Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management.'  He is fluent in French.|2.0|http://accweb/emmployees/buchanan.bmp|4|Cooperativa de Quesos 'Las Cabras'|Antonio del Valle Saavedra|Export Administrator|Calle del Rosal 4|Oviedo|Southern Europe|33007|Spain|(98) 598 76 54|Unknown Value|Unknown Value|3|Dairy Products|Cheeses|41092|41092|3|Wednesday|Wed|7|July|Jul|4|2012|27|3|2|41120|41120|3|Wednesday|Wed|8|August|Aug|1|2012|31|3|2|41104.0|41104.0|1|Monday|Mon|7.0|July|Jul|16.0|2012.0|29.0|3.0|2.0|31838|31838|3|Wednesday|Wed|3|March|Mar|4|1987|10|1|1|45945|45945|5|Friday|Fri|10|October|Oct|17|2025|42|4|2|2|Federal Shipping|(503) 555-9931
1|10248/42|10248|42|9.8|10|0.0|0|VINET|5|2012-07-04|2012-08-01|2012-07-16|3|32.38|Vins et alcools Chevalier|59 rue de l'Abbaye|Reims|Western Europe|51100|France|41|Singaporean Hokkien Fried Mee|20|5|32 - 1 kg pkgs.|14.0|26|0|0|1|84.0|Vins et alcools Chevalier|Paul Henriot|Accounting Manager|59 rue de l'Abbaye|Reims|Western Europe|51100|France|26.47.15.10|26.47.15.11|4|Buchanan|Steven|Sales Manager|Mr.|1987-03-04|2025-10-17|14 Garrett Hill|London|British Isles|SW1 8JR|UK|(71) 555-4848|3453|Unknown Value|Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree in 1976.  Upon joining the company as a sales representative in 1992, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London.  He was promoted to sales manager in March 1993.  Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management.'  He is fluent in French.|2.0|http://accweb/emmployees/buchanan.bmp|19|Leka Trading|Chandra Leka|Owner|471 Serangoon Loop, Suite #402|Singapore|South-East Asia|0512|Singapore|555-8787|Unknown Value|Unknown Value|4|Grains/Cereals|Breads, crackers, pasta, and cereal|41092|41092|3|Wednesday|Wed|7|July|Jul|4|2012|27|3|2|41120|41120|3|Wednesday|Wed|8|August|Aug|1|2012|31|3|2|41104.0|41104.0|1|Monday|Mon|7.0|July|Jul|16.0|2012.0|29.0|3.0|2.0|31838|31838|3|Wednesday|Wed|3|March|Mar|4|1987|10|1|1|45945|45945|5|Friday|Fri|10|October|Oct|17|2025|42|4|2|2|Federal Shipping|(503) 555-9931
2|10248/72|10248|72|34.8|5|0.0|0|VINET|5|2012-07-04|2012-08-01|2012-07-16|3|32.38|Vins et alcools Chevalier|59 rue de l'Abbaye|Reims|Western Europe|51100|France|71|Mozzarella di Giovanni|14|4|24 - 200 g pkgs.|34.8|14|0|0|0|84.0|Vins et alcools Chevalier|Paul Henriot|Accounting Manager|59 rue de l'Abbaye|Reims|Western Europe|51100|France|26.47.15.10|26.47.15.11|4|Buchanan|Steven|Sales Manager|Mr.|1987-03-04|2025-10-17|14 Garrett Hill|London|British Isles|SW1 8JR|UK|(71) 555-4848|3453|Unknown Value|Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree in 1976.  Upon joining the company as a sales representative in 1992, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London.  He was promoted to sales manager in March 1993.  Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management.'  He is fluent in French.|2.0|http://accweb/emmployees/buchanan.bmp|13|Formaggi Fortini s.r.l.|Elio Rossi|Sales Representative|Viale Dante, 75|Ravenna|Southern Europe|48100|Italy|(0544) 60323|(0544) 60603|#FORMAGGI.HTM#|3|Dairy Products|Cheeses|41092|41092|3|Wednesday|Wed|7|July|Jul|4|2012|27|3|2|41120|41120|3|Wednesday|Wed|8|August|Aug|1|2012|31|3|2|41104.0|41104.0|1|Monday|Mon|7.0|July|Jul|16.0|2012.0|29.0|3.0|2.0|31838|31838|3|Wednesday|Wed|3|March|Mar|4|1987|10|1|1|45945|45945|5|Friday|Fri|10|October|Oct|17|2025|42|4|2|2|Federal Shipping|(503) 555-9931
3|10249/14|10249|14|18.6|9|0.0|1|TOMSP|6|2012-07-05|2012-08-16|2012-07-10|1|11.61|Toms Spezialitäten|Luisenstr. 48|Münster|Western Europe|44087|Germany|13|Tofu|6|7|40 - 100 g pkgs.|23.25|35|0|0|0|78.0|Toms Spezialitäten|Karin Josephs|Marketing Manager|Luisenstr. 48|Münster|Western Europe|44087|Germany|0251-031259|0251-035695|5|Suyama|Michael|Sales Representative|Mr.|1995-07-02|2025-10-17|Coventry House Miner Rd.|London|British Isles|EC2 7JR|UK|(71) 555-7773|428|Unknown Value|Michael is a graduate of Sussex University (MA, economics, 1983) and the University of California at Los Angeles (MBA, marketing, 1986).  He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional.'  He is fluent in Japanese and can read and write French, Portuguese, and Spanish.|5.0|http://accweb/emmployees/davolio.bmp|5|Mayumi's|Mayumi Ohno|Marketing Representative|92 Setsuko Chuo-ku|Osaka|Eastern Asia|545|Japan|(06) 431-7877|Unknown Value|Mayumi's (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#|6|Produce|Dried fruit and bean curd|41093|41093|4|Thursday|Thu|7|July|Jul|5|2012|27|3|2|41135|41135|4|Thursday|Thu|8|August|Aug|16|2012|33|3|2|41098.0|41098.0|2|Tuesday|Tue|7.0|July|Jul|10.0|2012.0|28.0|3.0|2.0|34880|34880|0|Sunday|Sun|7|July|Jul|2|1995|26|3|2|45945|45945|5|Friday|Fri|10|October|Oct|17|2025|42|4|2|0|Speedy Express|(503) 555-9831
4|10249/51|10249|51|42.4|40|0.0|1|TOMSP|6|2012-07-05|2012-08-16|2012-07-10|1|11.61|Toms Spezialitäten|Luisenstr. 48|Münster|Western Europe|44087|Germany|50|Manjimup Dried Apples|24|7|50 - 300 g pkgs.|53.0|20|0|10|0|78.0|Toms Spezialitäten|Karin Josephs|Marketing Manager|Luisenstr. 48|Münster|Western Europe|44087|Germany|0251-031259|0251-035695|5|Suyama|Michael|Sales Representative|Mr.|1995-07-02|2025-10-17|Coventry House Miner Rd.|London|British Isles|EC2 7JR|UK|(71) 555-7773|428|Unknown Value|Michael is a graduate of Sussex University (MA, economics, 1983) and the University of California at Los Angeles (MBA, marketing, 1986).  He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional.'  He is fluent in Japanese and can read and write French, Portuguese, and Spanish.|5.0|http://accweb/emmployees/davolio.bmp|23|G'day, Mate|Wendy Mackenzie|Sales Representative|170 Prince Edward Parade Hunter's Hill|Sydney|NSW|2042|Australia|(02) 555-5914|(02) 555-4873|G'day Mate (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#|6|Produce|Dried fruit and bean curd|41093|41093|4|Thursday|Thu|7|July|Jul|5|2012|27|3|2|41135|41135|4|Thursday|Thu|8|August|Aug|16|2012|33|3|2|41098.0|41098.0|2|Tuesday|Tue|7.0|July|Jul|10.0|2012.0|28.0|3.0|2.0|34880|34880|0|Sunday|Sun|7|July|Jul|2|1995|26|3|2|45945|45945|5|Friday|Fri|10|October|Oct|17|2025|42|4|2|0|Speedy Express|(503) 555-9831
5|10250/41|10250|41|7.7|10|0.0|2|HANAR|4|2012-07-08|2012-08-05|2012-07-12|2|65.83|Hanari Carnes|Rua do Paço, 67|Rio de Janeiro|South America|05454-876|Brazil|40|Jack's New England Clam Chowder|19|8|12 - 12 oz cans|9.65|85|0|10|0|33.0|Hanari Carnes|Mario Pontes|Accounting Manager|Rua do Paço, 67|Rio de Janeiro|South America|05454-876|Brazil|(21) 555-0091|(21) 555-8765|3|Peacock|Margaret|Sales Representative|Mrs.|1969-09-19|2025-05-03|4110 Old Redmond Rd.|Redmond|North America|98052|USA|(206) 555-8122|5176|Unknown Value|Margaret holds a BA in English literature from Concordia College (1958) and an MA from the American Institute of Culinary Arts (1966).  She was assigned to the London office temporarily from July through November 1992.|2.0|http://accweb/emmployees/peacock.bmp|18|New England Seafood Cannery|Robb Merchant|Wholesale Account Agent|Order Processing Dept. 2100 Paul Revere Blvd.|Boston|North America|02134|USA|(617) 555-3267|(617) 555-3389|Unknown Value|7|Seafood|Seaweed and fish|41096|41096|0|Sunday|Sun|7|July|Jul|8|2012|27|3|2|41124|41124|0|Sunday|Sun|8|August|Aug|5|2012|31|3|2|41100.0|41100.0|4|Thursday|Thu|7.0|July|Jul|12.0|2012.0|28.0|3.0|2.0|25463|25463|5|Friday|Fri|9|September|Sep|19|1969|38|3|2|45778|45778|6|Saturday|Sat|5|May|May|3|2025|18|2|1|1|United Package|(503) 555-3199
6|10250/51|10250|51|42.4|35|0.15|2|HANAR|4|2012-07-08|2012-08-05|2012-07-12|2|65.83|Hanari Carnes|Rua do Paço, 67|Rio de Janeiro|South America|05454-876|Brazil|50|Manjimup Dried Apples|24|7|50 - 300 g pkgs.|53.0|20|0|10|0|33.0|Hanari Carnes|Mario Pontes|Accounting Manager|Rua do Paço, 67|Rio de Janeiro|South America|05454-876|Brazil|(21) 555-0091|(21) 555-8765|3|Peacock|Margaret|Sales Representative|Mrs.|1969-09-19|2025-05-03|4110 Old Redmond Rd.|Redmond|North America|98052|USA|(206) 555-8122|5176|Unknown Value|Margaret holds a BA in English literature from Concordia College (1958) and an MA from the American Institute of Culinary Arts (1966).  She was assigned to the London office temporarily from July through November 1992.|2.0|http://accweb/emmployees/peacock.bmp|23|G'day, Mate|Wendy Mackenzie|Sales Representative|170 Prince Edward Parade Hunter's Hill|Sydney|NSW|2042|Australia|(02) 555-5914|(02) 555-4873|G'day Mate (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#|6|Produce|Dried fruit and bean curd|41096|41096|0|Sunday|Sun|7|July|Jul|8|2012|27|3|2|41124|41124|0|Sunday|Sun|8|August|Aug|5|2012|31|3|2|41100.0|41100.0|4|Thursday|Thu|7.0|July|Jul|12.0|2012.0|28.0|3.0|2.0|25463|25463|5|Friday|Fri|9|September|Sep|19|1969|38|3|2|45778|45778|6|Saturday|Sat|5|May|May|3|2025|18|2|1|1|United Package|(503) 555-3199
7|10250/65|10250|65|16.8|15|0.15|2|HANAR|4|2012-07-08|2012-08-05|2012-07-12|2|65.83|Hanari Carnes|Rua do Paço, 67|Rio de Janeiro|South America|05454-876|Brazil|64|Louisiana Fiery Hot Pepper Sauce|2|2|32 - 8 oz bottles|21.05|76|0|0|0|33.0|Hanari Carnes|Mario Pontes|Accounting Manager|Rua do Paço, 67|Rio de Janeiro|South America|05454-876|Brazil|(21) 555-0091|(21) 555-8765|3|Peacock|Margaret|Sales Representative|Mrs.|1969-09-19|2025-05-03|4110 Old Redmond Rd.|Redmond|North America|98052|USA|(206) 555-8122|5176|Unknown Value|Margaret holds a BA in English literature from Concordia College (1958) and an MA from the American Institute of Culinary Arts (1966).  She was assigned to the London office temporarily from July through November 1992.|2.0|http://accweb/emmployees/peacock.bmp|1|New Orleans Cajun Delights|Shelley Burke|Order Administrator|P.O. Box 78934|New Orleans|North America|70117|USA|(100) 555-4822|Unknown Value|#CAJUN.HTM#|1|Condiments|Sweet and savory sauces, relishes, spreads, and seasonings|41096|41096|0|Sunday|Sun|7|July|Jul|8|2012|27|3|2|41124|41124|0|Sunday|Sun|8|August|Aug|5|2012|31|3|2|41100.0|41100.0|4|Thursday|Thu|7.0|July|Jul|12.0|2012.0|28.0|3.0|2.0|25463|25463|5|Friday|Fri|9|September|Sep|19|1969|38|3|2|45778|45778|6|Saturday|Sat|5|May|May|3|2025|18|2|1|1|United Package|(503) 555-3199
8|10251/22|10251|22|16.8|6|0.05|3|VICTE|3|2012-07-08|2012-08-05|2012-07-15|1|41.34|Victuailles en stock|2, rue du Commerce|Lyon|Western Europe|69004|France|21|Gustaf's Knäckebröd|9|5|24 - 500 g pkgs.|21.0|104|0|25|0|83.0|Victuailles en stock|Mary Saveley|Sales Agent|2, rue du Commerce|Lyon|Western Europe|69004|France|78.32.54.86|78.32.54.87|2|Leverling|Janet|Sales Representative|Ms.|1995-08-30|2024-04-01|722 Moss Bay Blvd.|Kirkland|North America|98033|USA|(206) 555-3412|3355|Unknown Value|Janet has a BS degree in chemistry from Boston College (1984).  She has also completed a certificate program in food retailing management.  Janet was hired as a sales associate in 1991 and promoted to sales representative in February 1992.|2.0|http://accweb/emmployees/leverling.bmp|8|PB Knäckebröd AB|Lars Peterson|Sales Agent|Kaloadagatan 13|Göteborg|Northern Europe|S-345 67|Sweden|031-987 65 43|031-987 65 91|Unknown Value|4|Grains/Cereals|Breads, crackers, pasta, and cereal|41096|41096|0|Sunday|Sun|7|July|Jul|8|2012|27|3|2|41124|41124|0|Sunday|Sun|8|August|Aug|5|2012|31|3|2|41103.0|41103.0|0|Sunday|Sun|7.0|July|Jul|15.0|2012.0|28.0|3.0|2.0|34939|34939|3|Wednesday|Wed|8|August|Aug|30|1995|35|3|2|45381|45381|1|Monday|Mon|4|April|Apr|1|2024|14|2|1|0|Speedy Express|(503) 555-9831
9|10251/57|10251|57|15.6|15|0.05|3|VICTE|3|2012-07-08|2012-08-05|2012-07-15|1|41.34|Victuailles en stock|2, rue du Commerce|Lyon|Western Europe|69004|France|56|Ravioli Angelo|26|5|24 - 250 g pkgs.|19.5|36|0|20|0|83.0|Victuailles en stock|Mary Saveley|Sales Agent|2, rue du Commerce|Lyon|Western Europe|69004|France|78.32.54.86|78.32.54.87|2|Leverling|Janet|Sales Representative|Ms.|1995-08-30|2024-04-01|722 Moss Bay Blvd.|Kirkland|North America|98033|USA|(206) 555-3412|3355|Unknown Value|Janet has a BS degree in chemistry from Boston College (1984).  She has also completed a certificate program in food retailing management.  Janet was hired as a sales associate in 1991 and promoted to sales representative in February 1992.|2.0|http://accweb/emmployees/leverling.bmp|25|Pasta Buttini s.r.l.|Giovanni Giudici|Order Administrator|Via dei Gelsomini, 153|Salerno|Southern Europe|84100|Italy|(089) 6547665|(089) 6547667|Unknown Value|4|Grains/Cereals|Breads, crackers, pasta, and cereal|41096|41096|0|Sunday|Sun|7|July|Jul|8|2012|27|3|2|41124|41124|0|Sunday|Sun|8|August|Aug|5|2012|31|3|2|41103.0|41103.0|0|Sunday|Sun|7.0|July|Jul|15.0|2012.0|28.0|3.0|2.0|34939|34939|3|Wednesday|Wed|8|August|Aug|30|1995|35|3|2|45381|45381|1|Monday|Mon|4|April|Apr|1|2024|14|2|1|0|Speedy Express|(503) 555-9831
